55	35.8	570	49.352	6.7724e-09
55	38.5	560	41.182	6.0602e-09
55	41.2	550	34.666	5.5938e-09
55	44	550	30.528	5.2429e-09
55	46.8	540	26.898	4.9178e-09
55	49.5	540	24.054	4.6435e-09
55	5.5	1400	381.69	1.1809e-08
55	52.2	530	21.738	4.5785e-09
55	8.2	1090	375.8	1.1011e-08
60	12	920	370.62	2.0091e-08
60	15	810	303.61	1.6867e-08
60	18	750	260.1	1.4861e-08
60	21	700	213.07	1.3907e-08
60	24	660	163.95	1.3427e-08
60	27	640	117.24	1.3054e-08
60	30	610	86.831	1.2277e-08
60	33	600	71.258	1.0837e-08
60	36	590	56.696	9.1927e-09
60	39	580	46.518	7.9001e-09
60	42	570	39.307	7.0401e-09
60	45	560	33.906	6.475e-09
60	48	550	29.511	6.056e-09
60	51	540	25.654	5.6669e-09
60	54	540	23.304	5.3317e-09
60	57	540	20.777	5.1155e-09
60	6	1400	393.42	1.3825e-08
60	9	1090	379.98	1.2537e-08
65	13	920	373.76	2.3331e-08
65	16.2	820	305.27	1.9593e-08
65	19.5	750	249.94	1.7223e-08
65	22.8	700	196.52	1.6093e-08
65	26	670	147.73	1.5551e-08
65	29.2	640	113.91	1.5142e-08
65	32.5	620	84.217	1.424e-08
65	35.8	600	66.127	1.2547e-08
65	39	590	54.326	1.0615e-08
65	42.2	580	45.046	9.0921e-09
65	45.5	570	37.778	8.069e-09
65	48.8	560	32.185	7.3952e-09
65	52	550	27.734	6.9013e-09
65	55.2	550	24.621	6.4424e-09
65	58.5	540	22.012	6.0406e-09
65	6.5	1400	403.22	1.5278e-08
65	9.8	1080	383.42	1.3402e-08
70	10.5	1090	389.08	1.646e-08
70	14	920	364.15	1.3276e-08
70	17.5	820	288.94	1.1281e-08
70	21	760	224.36	1.0222e-08
70	24.5	710	178.47	9.5026e-09
70	28	670	137.31	8.9707e-09
70	31.5	640	100.51	8.6859e-09
70	35	620	76.796	8.8416e-09
70	38.5	610	59.963	9.5755e-09
70	42	590	49.558	1.0535e-08
70	45.5	580	41.464	1.0135e-08
70	49	570	34.923	8.0558e-09
70	52.5	560	29.673	6.1003e-09
70	56	560	25.87	4.7818e-09
70	59.5	550	22.983	3.9323e-09
70	63	540	20.273	3.4038e-09
70	66.5	540	18.592	3.1225e-09
70	7	1410	409.65	8.1236e-09
75	11.2	1100	388	1.8598e-08
75	15	930	352.64	1.4959e-08
75	18.8	830	270.46	1.2683e-08
75	22.5	760	215.93	1.1494e-08
75	26.2	710	163.16	1.0682e-08
75	30	680	118.37	1.0057e-08
75	33.8	650	91.652	9.7059e-09
75	37.5	630	69.196	9.8631e-09
75	41.2	610	55.529	1.0695e-08
75	45	600	44.618	1.1885e-08
75	48.8	590	36.775	1.165e-08
75	52.5	580	31.423	9.3196e-09
75	56.2	570	27.296	6.9989e-09
75	60	560	23.816	5.4225e-09
75	63.8	550	20.846	4.4151e-09
75	67.5	550	18.732	3.796e-09
75	7.5	1410	418.45	9.1603e-09
75	71.2	540	16.938	3.4009e-09
80	8	1410	425.16	1.0704e-08
80	12	1100	386.21	8.1408e-09
80	16	930	343.3	6.6218e-09
80	20	830	261.64	5.8228e-09
80	24	770	190.07	5.29e-09
80	28	720	144.46	4.8845e-09
80	32	680	107.56	4.5721e-09
80	36	650	79.664	4.3444e-09
80	40	630	61.781	4.0794e-09
80	44	610	48.102	3.6882e-09
80	48	600	40.116	3.323e-09
80	52	590	33.497	3.1139e-09
80	56	580	28.438	3.0514e-09
80	60	570	24.457	3.1082e-09
80	64	560	21.219	3.3439e-09
80	68	560	18.714	3.9089e-09
80	72	550	16.848	5.1064e-09
80	76	550	15.113	7.2665e-09
85	12.8	1100	382.94	2.3814e-08
85	17	940	325.69	1.9196e-08
85	21.2	840	245.57	1.6291e-08
85	25.5	770	179.44	1.4718e-08
85	29.8	720	128.4	1.3646e-08
85	34	690	92.204	1.2867e-08
85	38.2	660	69.973	1.2455e-08
85	42.5	640	53.118	1.269e-08
85	46.8	620	42.591	1.3811e-08
85	51	600	34.29	1.5335e-08
85	55.2	590	29.066	1.4783e-08
85	59.5	580	24.714	1.1607e-08
85	63.8	570	21.212	8.6626e-09
85	68	570	18.617	6.7143e-09
85	72.2	560	16.608	5.471e-09
85	76.5	550	14.792	4.6991e-09
85	8.5	1410	430.82	1.1343e-08
85	80.8	550	13.421	4.2094e-09
90	13.5	1110	378.84	2.6139e-08
90	18	940	312.45	2.1038e-08
90	22.5	840	227.93	1.7868e-08
90	27	780	158.97	1.6176e-08
90	31.5	730	113.85	1.4977e-08
90	36	690	80.334	1.4008e-08
90	40.5	660	58.225	1.3369e-08
90	45	640	45.676	1.3396e-08
90	49.5	620	36.184	1.4408e-08
90	54	610	30.004	1.6251e-08
90	58.5	600	24.987	1.6624e-08
90	63	590	21.261	1.3576e-08
90	67.5	580	18.418	1.005e-08
90	72	570	16.168	7.6218e-09
90	76.5	560	14.301	6.0919e-09
90	81	560	12.788	5.1621e-09
90	85.5	550	11.671	4.6696e-09
90	9	1410	433.72	1.2033e-08
95	14.2	1120	369.89	2.8756e-08
95	19	950	298.69	2.3085e-08
95	23.8	850	210.16	1.9548e-08
95	28.5	780	144.27	1.7676e-08
95	33.2	740	97.573	1.6364e-08
95	38	700	69.433	1.5311e-08
95	42.8	670	50.259	1.4644e-08
95	47.5	650	38.227	1.4738e-08
95	52.2	630	30.93	1.5946e-08
95	57	610	25.1	1.8177e-08
95	61.8	600	21.156	1.8937e-08
95	66.5	590	18.074	1.5603e-08
95	71.2	580	15.653	1.1451e-08
95	76	570	13.695	8.5604e-09
95	80.8	560	12.124	6.7558e-09
95	85.5	560	10.99	5.6722e-09
95	9.5	1420	437.53	1.3471e-08
95	90.2	550	10.023	4.9459e-09
100	10	1420	440.3	1.634e-08
100	15	1120	363.29	1.2399e-08
100	20	950	281.78	1.0059e-08
100	25	850	192.79	8.8248e-09
100	30	790	129.36	8.0015e-09
100	35	740	86.627	7.3755e-09
100	40	710	58.214	6.8993e-09
100	45	680	42.202	6.5646e-09
100	50	650	31.516	6.166e-09
100	55	630	25.355	5.5375e-09
100	60	620	21.136	4.9377e-09
100	65	610	17.588	4.5857e-09
100	70	590	14.974	4.4596e-09
100	75	580	12.994	4.506e-09
100	80	580	11.47	4.8066e-09
100	85	570	10.278	5.5801e-09
100	90	560	9.3123	7.2916e-09
100	95	550	8.546	1.0579e-08
105	100	550	7.2664	3.5783e-07
105	10	1470	448.58	1.0084e-06
105	15	1150	365.83	9.0544e-07
105	20	980	280.35	8.3026e-07
105	25	880	198.95	7.6902e-07
105	30	810	130.12	7.1372e-07
105	35	760	86.297	6.5487e-07
105	40	730	57.505	5.862e-07
105	45	700	40.559	5.0598e-07
105	50	670	30.187	4.1877e-07
105	55	650	23.329	3.3353e-07
105	60	630	19.284	2.5899e-07
105	65	620	16.275	1.9841e-07
105	70	610	13.806	1.4955e-07
105	75	600	11.916	1.1204e-07
105	80	590	10.481	8.5237e-08
105	85	580	9.3624	6.766e-08
105	90	570	8.4822	5.5646e-08
105	95	560	7.793	4.6386e-08
110	100	540	6.6001	3.547e-07
110	105	530	6.363	3.5771e-07
110	10	1520	455.18	1.0098e-06
110	15	1190	367.36	8.8288e-07
110	20	1010	283.25	7.9455e-07
110	25	900	198.46	7.2685e-07
110	30	830	129.37	6.6731e-07
110	35	780	85.968	6.073e-07
110	40	750	57.214	5.4074e-07
110	45	710	39.546	4.6617e-07
110	50	690	28.978	3.8731e-07
110	55	670	21.785	3.1196e-07
110	60	650	17.236	2.4576e-07
110	65	630	14.643	1.8899e-07
110	70	620	12.553	1.4345e-07
110	75	610	10.826	1.0992e-07
110	80	600	9.4821	8.7466e-08
110	85	590	8.4343	7.1898e-08
110	90	570	7.6382	5.9803e-08
110	95	560	7.039	5.0267e-08
115	100	530	6.0429	3.4985e-07
115	105	520	5.9018	3.4906e-07
115	10	1560	461.31	9.6938e-07
115	110	520	5.7784	3.4926e-07
115	15	1220	371.47	8.3554e-07
115	20	1040	286.55	7.4381e-07
115	25	930	202.71	6.7462e-07
115	30	860	131	6.155e-07
115	35	800	85.651	5.576e-07
115	40	760	57.083	4.9554e-07
115	45	730	39.235	4.2774e-07
115	50	710	27.811	3.5815e-07
115	55	690	20.539	2.9195e-07
115	60	670	15.857	2.3084e-07
115	65	640	12.836	1.7895e-07
115	70	630	11.157	1.3909e-07
115	75	620	9.7136	1.116e-07
115	80	610	8.5013	9.2095e-08
115	85	600	7.5418	7.6693e-08
115	90	580	6.8253	6.4414e-08
115	95	570	6.2836	5.4512e-08
120	100	520	5.6003	3.4492e-07
120	105	520	5.5148	3.4078e-07
120	10	1610	465.34	9.3207e-07
120	110	520	5.4259	3.3503e-07
120	115	520	5.3233	3.2191e-07
120	15	1260	378.66	7.731e-07
120	20	1070	290.58	6.827e-07
120	25	960	203.11	6.1622e-07
120	30	880	133.31	5.605e-07
120	35	830	85.849	5.0733e-07
120	40	780	57.114	4.5117e-07
120	45	750	39.135	3.9158e-07
120	50	730	27.134	3.3098e-07
120	55	700	19.758	2.7058e-07
120	60	680	14.972	2.1578e-07
120	65	670	11.717	1.7141e-07
120	70	640	9.7116	1.3963e-07
120	75	630	8.5413	1.1635e-07
120	80	620	7.5519	9.7447e-08
120	85	610	6.7002	8.2072e-08
120	90	590	6.0516	6.9496e-08
120	95	530	5.6737	5.9276e-08
125	100	620	5.2348	3.4182e-07
125	105	620	5.1742	3.5686e-07
125	10	1650	465.49	1.0594e-06
125	110	610	5.1074	3.7066e-07
125	115	610	5.0325	3.8298e-07
125	120	600	4.9545	3.9412e-07
125	15	1300	384.55	1.6779e-06
125	20	1100	293.99	2.0197e-06
125	25	980	202.01	1.9609e-06
125	30	900	133.83	1.714e-06
125	35	850	86.215	1.3898e-06
125	40	800	57.198	1.121e-06
125	45	770	38.989	9.0495e-07
125	50	740	26.787	7.2117e-07
125	55	720	19.205	5.898e-07
125	60	700	14.306	4.9431e-07
125	65	690	11.026	4.2372e-07
125	70	670	8.7702	3.7116e-07
125	75	660	7.393	3.4167e-07
125	80	650	6.6053	3.3092e-07
125	85	640	5.9199	3.1943e-07
125	90	640	5.4423	3.1449e-07
125	95	630	5.3172	3.2737e-07
130	100	640	4.9519	3.3439e-07
130	105	630	4.8697	3.4768e-07
130	10	1700	465.68	1.0758e-06
