0.017586	0.0703
0.017712	0.0710
0.017839	0.0717
0.017969	0.0724
0.018100	0.0732
0.018233	0.0739
0.018368	0.0747
0.018505	0.0754
0.018644	0.0762
0.018785	0.0770
0.018929	0.0778
0.019074	0.0792
0.019222	0.0801
0.019373	0.0816
0.019525	0.0830
0.019680	0.0846
0.019837	0.0861
0.019997	0.0884
0.020160	0.0906
0.020325	0.0929
0.020493	0.0958
0.020664	0.0988
0.020838	0.1018
0.021014	0.1062
0.021194	0.1107
0.021377	0.1152
0.021562	0.1211
0.021752	0.1278
0.021944	0.1352
0.022140	0.1440
0.022339	0.1537
0.022543	0.1647
0.022749	0.1778
0.022960	0.1921
0.023175	0.2081
0.023393	0.2259
0.023616	0.2454
0.023843	0.2653
0.024075	0.2860
0.024311	0.3057
0.024551	0.3238
0.024797	0.3377
0.025047	0.3472
0.025303	0.3505
0.025564	0.3476
0.025830	0.3387
0.026102	0.3258
0.026380	0.3094
0.026663	0.2919
0.026953	0.2741
0.027249	0.2578
0.027552	0.2441
0.027862	0.2333
0.028178	0.2260
0.028502	0.2238
0.028834	0.2272
0.029173	0.2413
0.029520	0.2753
0.029876	0.3553
0.030240	0.4067
0.030613	0.3481
0.030996	0.3756
0.031388	0.4348
0.031791	0.4826
0.032204	0.4796
0.032627	0.4201
0.033062	0.3388
0.033509	0.2687
0.033968	0.2181
0.034440	0.1831
0.034925	0.1595
0.035424	0.1431
0.035937	0.1319
0.036466	0.1247
0.037010	0.1200
0.037571	0.1166
0.038149	0.1156
0.038745	0.1158
0.039360	0.1171
0.039995	0.1197
0.040651	0.1232
0.041328	0.1282
0.042029	0.1343
0.042753	0.1424
0.043503	0.1521
0.044280	0.1636
0.045085	0.1786
0.045920	0.1960
0.046786	0.2183
0.047686	0.2454
0.048621	0.2795
0.049594	0.3206
0.050606	0.3711
0.051660	0.4342
0.052759	0.5166
0.053906	0.6205
0.055104	0.5519
0.056356	0.6002
0.057667	0.6668
0.059040	0.7316
0.060480	0.7937
0.061992	0.8532
0.063582	0.9100
0.065255	0.9631
0.067018	1.0110
0.068880	1.0530
0.070848	1.0883
0.072932	1.1162
0.075142	1.1385
0.077490	1.1583
0.079990	1.1799
0.082656	1.2082
0.085506	1.2463
0.088560	1.2946
0.091840	1.3510
0.095372	1.4107
0.099187	1.4670
0.103320	1.5117
0.107812	1.5389
0.112713	1.5457
0.118080	1.5390
0.123984	1.5354
0.130510	1.5586
0.137760	1.6315
0.145864	1.7636
0.154980	1.9420
0.165312	2.1227
0.177120	2.2554
0.190745	2.4032
0.206640	2.7449
0.225426	3.3025
0.247968	3.3279
0.261019	3.0770
0.275520	3.3609
0.291728	3.9383
0.309960	4.3314
0.330625	3.5780
0.354241	3.8060
0.381490	4.5160
0.413281	5.1025
0.450852	5.1471
0.495937	4.7820
0.551041	5.2379
0.619921	6.3712
0.708481	7.8089
0.826561	9.6069
0.991874	11.8617
1.239842	13.1420
1.653123	14.8056
2.479684	24.3542
